Year,Province,District,Month,ATMs_Number
2020,Niassa,Chimbunhila,Dezembro,1.0
2020,Zambézia,Cidade de Quelimane,Abril,61.0
2020,Zambézia,Cidade de Quelimane,Julho,58.0
2020,Niassa,Muembe,Março,0.0
2020,Niassa,Nipepe,Setembro,1.0
2020,Niassa,Chimbunhila,Outubro,0.0
2020,Niassa,Chimbunhila,Setembro,0.0
2020,Niassa,Chimbunhila,Agosto,0.0
2020,Niassa,Chimbunhila,Julho,0.0
2020,Niassa,Chimbunhila,Junho,0.0
2020,Niassa,Chimbunhila,Maio,0.0
2020,Niassa,Chimbunhila,Abril,0.0
2020,Niassa,Chimbunhila,Março,0.0
2020,Niassa,Chimbunhila,Fevereiro,0.0
2020,Niassa,Chimbunhila,Janeiro,0.0
2020,Niassa,Sanga,Dezembro,0.0
2020,Niassa,Sanga,Novembro,0.0
2020,Niassa,Sanga,Outubro,0.0
2020,Niassa,Sanga,Setembro,0.0
2020,Niassa,Sanga,Agosto,0.0
2020,Niassa,Sanga,Julho,0.0
2020,Niassa,Sanga,Junho,0.0
2020,Niassa,Sanga,Maio,0.0
2020,Niassa,Sanga,Abril,0.0
2020,Niassa,Sanga,Março,0.0
2020,Niassa,Sanga,Fevereiro,0.0
2020,Niassa,Sanga,Janeiro,0.0
2020,Niassa,Muembe,Agosto,0.0
2020,Niassa,Nipepe,Agosto,1.0
2020,Niassa,Muembe,Maio,0.0
2020,Niassa,Nipepe,Junho,1.0
2020,Niassa,Muembe,Junho,0.0
2020,Niassa,Maúa,Maio,2.0
2020,Niassa,Nipepe,Julho,1.0
2020,Niassa,Nipepe,Maio,1.0
2020,Niassa,Nipepe,Abril,1.0
2020,Niassa,Nipepe,Março,1.0
2020,Niassa,Nipepe,Fevereiro,1.0
2020,Niassa,Nipepe,Janeiro,1.0
2020,Niassa,N´gauma,Dezembro,0.0
2020,Niassa,N´gauma,Novembro,0.0
2020,Niassa,N´gauma,Outubro,0.0
2020,Niassa,N´gauma,Setembro,0.0
2020,Niassa,N´gauma,Agosto,0.0
2020,Niassa,N´gauma,Julho,0.0
2020,Niassa,N´gauma,Junho,0.0
2020,Niassa,N´gauma,Maio,0.0
2020,Niassa,N´gauma,Abril,0.0
2020,Niassa,N´gauma,Março,0.0
2020,Niassa,N´gauma,Fevereiro,0.0
2020,Niassa,N´gauma,Janeiro,0.0
2020,Niassa,Muembe,Dezembro,0.0
2020,Niassa,Muembe,Novembro,0.0
2020,Niassa,Muembe,Outubro,0.0
2020,Niassa,Muembe,Setembro,0.0
2020,Niassa,Nipepe,Dezembro,1.0
2020,Niassa,Muembe,Julho,0.0
2020,Niassa,Nipepe,Novembro,1.0
2020,Niassa,Maúa,Setembro,2.0
2020,Niassa,Muembe,Abril,0.0
2020,Niassa,Muembe,Fevereiro,0.0
2020,Niassa,Muembe,Janeiro,0.0
2020,Niassa,Mecanhelas,Novembro,3.0
2020,Niassa,Metarica,Dezembro,0.0
2020,Niassa,Metarica,Novembro,0.0
2020,Niassa,Metarica,Outubro,0.0
2020,Niassa,Metarica,Setembro,0.0
2020,Niassa,Metarica,Agosto,0.0
2020,Niassa,Metarica,Julho,0.0
2020,Niassa,Metarica,Junho,0.0
2020,Niassa,Metarica,Maio,0.0
2020,Niassa,Metarica,Abril,0.0
2020,Niassa,Metarica,Março,0.0
2020,Niassa,Metarica,Fevereiro,0.0
2020,Niassa,Metarica,Janeiro,0.0
2020,Niassa,Mecula,Dezembro,2.0
2020,Niassa,Mecula,Novembro,2.0
2020,Niassa,Mecula,Outubro,2.0
2020,Niassa,Mecula,Setembro,2.0
2020,Niassa,Mecula,Agosto,2.0
2020,Niassa,Mecula,Julho,2.0
2020,Niassa,Mecula,Junho,2.0
2020,Niassa,Mecula,Maio,2.0
2020,Niassa,Mecula,Abril,2.0
2020,Niassa,Mecula,Março,2.0
2020,Niassa,Maúa,Outubro,2.0
2020,Niassa,Maúa,Abril,2.0
2020,Niassa,Nipepe,Outubro,1.0
2020,Niassa,Mecanhelas,Agosto,3.0
2020,Niassa,Maúa,Agosto,2.0
2020,Niassa,Maúa,Junho,2.0
2020,Niassa,Mecanhelas,Setembro,3.0
2020,Niassa,Mecanhelas,Julho,3.0
2020,Niassa,Mecanhelas,Junho,3.0
2020,Niassa,Mecanhelas,Maio,3.0
2020,Niassa,Mecanhelas,Abril,3.0
2020,Niassa,Mecanhelas,Março,3.0
2020,Niassa,Mecanhelas,Fevereiro,3.0
2020,Niassa,Mecanhelas,Janeiro,3.0
2020,Niassa,Mavago,Dezembro,2.0
2020,Niassa,Mavago,Novembro,2.0
2020,Niassa,Mavago,Outubro,2.0
2020,Niassa,Mavago,Setembro,2.0
2020,Niassa,Mavago,Agosto,2.0
2020,Niassa,Mavago,Julho,2.0
2020,Niassa,Mavago,Junho,2.0
2020,Niassa,Mavago,Maio,2.0
2020,Niassa,Mavago,Abril,2.0
2020,Niassa,Mavago,Março,2.0
2020,Niassa,Mavago,Fevereiro,2.0
2020,Niassa,Mavago,Janeiro,2.0
2020,Niassa,Maúa,Dezembro,2.0
2020,Niassa,Maúa,Novembro,2.0
2020,Niassa,Mecula,Fevereiro,2.0
2020,Niassa,Cuamba,Julho,16.0
2020,Niassa,Mecanhelas,Outubro,3.0
2020,Niassa,Maúa,Julho,2.0
2020,Niassa,Maúa,Março,2.0
2020,Cabo Delgado,Quissanga,Abril,0.0
2020,Niassa,Manjune,Dezembro,1.0
2020,Niassa,Mandimba,Janeiro,2.0
2020,Niassa,Maúa,Fevereiro,2.0
2020,Niassa,Maúa,Janeiro,2.0
2020,Niassa,Marrupa,Dezembro,2.0
2020,Niassa,Marrupa,Novembro,2.0
2020,Niassa,Marrupa,Outubro,2.0
2020,Niassa,Marrupa,Setembro,2.0
2020,Niassa,Marrupa,Agosto,2.0
2020,Niassa,Marrupa,Julho,2.0
2020,Niassa,Marrupa,Junho,2.0
2020,Niassa,Marrupa,Maio,2.0
2020,Niassa,Marrupa,Abril,2.0
2020,Niassa,Marrupa,Março,2.0
2020,Niassa,Marrupa,Fevereiro,2.0
2020,Niassa,Marrupa,Janeiro,2.0
2020,Niassa,Mandimba,Dezembro,2.0
2020,Niassa,Mandimba,Novembro,2.0
2020,Niassa,Mandimba,Outubro,2.0
2020,Niassa,Mandimba,Setembro,2.0
2020,Niassa,Mandimba,Agosto,2.0
2020,Niassa,Mandimba,Julho,2.0
2020,Niassa,Mandimba,Junho,2.0
2020,Niassa,Mandimba,Maio,2.0
2020,Niassa,Mandimba,Março,2.0
2020,Niassa,Mandimba,Abril,2.0
2020,Niassa,Manjune,Novembro,1.0
2020,Niassa,Lago,Setembro,3.0
2020,Niassa,Manjune,Setembro,0.0
2020,Niassa,Manjune,Agosto,0.0
2020,Niassa,Manjune,Julho,0.0
2020,Niassa,Manjune,Junho,0.0
2020,Niassa,Manjune,Maio,0.0
2020,Niassa,Manjune,Abril,0.0
2020,Niassa,Manjune,Março,0.0
2020,Niassa,Manjune,Fevereiro,0.0
2020,Niassa,Manjune,Janeiro,0.0
2020,Niassa,Lago,Dezembro,3.0
2020,Niassa,Mecanhelas,Dezembro,3.0
2020,Cabo Delgado,Nangade,Setembro,2.0
2020,Niassa,Lago,Agosto,3.0
2020,Nampula,Nacaroa,Maio,1.0
2020,Niassa,Lago,Julho,3.0
2020,Niassa,Lago,Junho,3.0
2020,Niassa,Lago,Maio,3.0
2020,Niassa,Lago,Abril,5.0
2020,Niassa,Lago,Março,3.0
2020,Niassa,Lago,Fevereiro,3.0
