Year,Quarter,Level,Province,District,Metric,Value
2025,Q3,Province,Cidade de Maputo,nan,Agências(1),209.0
2025,Q3,Province,Cidade de Maputo,nan,Agências Microbancos e Cooperativas de Crédito,13.0
2025,Q3,Province,Cidade de Maputo,nan,Agentes Bancários (2),35.0
2025,Q3,Province,Cidade de Maputo,nan,Agentes Não Bancários (IME) (3),62426.0
2025,Q3,Province,Cidade de Maputo,nan,Operadores de Microcrédito,1590.0
2025,Q3,Province,Cidade de Maputo,nan,Instituições Seguradoras,51.0
2025,Q3,Province,Cidade de Maputo,nan,ATM,397.0
2025,Q3,Province,Cidade de Maputo,nan,POS,13298.0
2025,Q3,Province,Cidade de Maputo,nan,TOTAL,78019.0
2025,Q3,District,Cidade de Maputo,Província de Maputo,Agências(1),68.0
2025,Q3,District,Cidade de Maputo,Província de Maputo,Agências Microbancos e Cooperativas de Crédito,18.0
2025,Q3,District,Cidade de Maputo,Província de Maputo,Agentes Bancários (2),39.0
2025,Q3,District,Cidade de Maputo,Província de Maputo,Agentes Não Bancários (IME) (3),58155.0
2025,Q3,District,Cidade de Maputo,Província de Maputo,Operadores de Microcrédito,722.0
2025,Q3,District,Cidade de Maputo,Província de Maputo,Instituições Seguradoras,74.0
2025,Q3,District,Cidade de Maputo,Província de Maputo,ATM,173.0
2025,Q3,District,Cidade de Maputo,Província de Maputo,POS,5750.0
2025,Q3,District,Cidade de Maputo,Província de Maputo,TOTAL,64999.0
2025,Q3,District,Cidade de Maputo,Matola,Agências(1),44.0
2025,Q3,District,Cidade de Maputo,Matola,Agências Microbancos e Cooperativas de Crédito,5.0
2025,Q3,District,Cidade de Maputo,Matola,Agentes Bancários (2),16.0
2025,Q3,District,Cidade de Maputo,Matola,Agentes Não Bancários (IME) (3),34265.0
2025,Q3,District,Cidade de Maputo,Matola,Operadores de Microcrédito,533.0
2025,Q3,District,Cidade de Maputo,Matola,Instituições Seguradoras,62.0
2025,Q3,District,Cidade de Maputo,Matola,ATM,123.0
2025,Q3,District,Cidade de Maputo,Matola,POS,3789.0
2025,Q3,District,Cidade de Maputo,Matola,TOTAL,38837.0
2025,Q3,District,Cidade de Maputo,Boane,Agências(1),6.0
2025,Q3,District,Cidade de Maputo,Boane,Agências Microbancos e Cooperativas de Crédito,3.0
2025,Q3,District,Cidade de Maputo,Boane,Agentes Bancários (2),5.0
2025,Q3,District,Cidade de Maputo,Boane,Agentes Não Bancários (IME) (3),6180.0
2025,Q3,District,Cidade de Maputo,Boane,Operadores de Microcrédito,77.0
2025,Q3,District,Cidade de Maputo,Boane,Instituições Seguradoras,10.0
2025,Q3,District,Cidade de Maputo,Boane,ATM,14.0
2025,Q3,District,Cidade de Maputo,Boane,POS,657.0
2025,Q3,District,Cidade de Maputo,Boane,TOTAL,6952.0
2025,Q3,District,Cidade de Maputo,Magude,Agências(1),5.0
2025,Q3,District,Cidade de Maputo,Magude,Agências Microbancos e Cooperativas de Crédito,3.0
2025,Q3,District,Cidade de Maputo,Magude,Agentes Bancários (2),1.0
2025,Q3,District,Cidade de Maputo,Magude,Agentes Não Bancários (IME) (3),854.0
2025,Q3,District,Cidade de Maputo,Magude,Operadores de Microcrédito,2.0
2025,Q3,District,Cidade de Maputo,Magude,Instituições Seguradoras,0.0
2025,Q3,District,Cidade de Maputo,Magude,ATM,2.0
2025,Q3,District,Cidade de Maputo,Magude,POS,29.0
2025,Q3,District,Cidade de Maputo,Magude,TOTAL,896.0
2025,Q3,District,Cidade de Maputo,Manhiça,Agências(1),1.0
2025,Q3,District,Cidade de Maputo,Manhiça,Agências Microbancos e Cooperativas de Crédito,1.0
2025,Q3,District,Cidade de Maputo,Manhiça,Agentes Bancários (2),7.0
2025,Q3,District,Cidade de Maputo,Manhiça,Agentes Não Bancários (IME) (3),3419.0
2025,Q3,District,Cidade de Maputo,Manhiça,Operadores de Microcrédito,18.0
2025,Q3,District,Cidade de Maputo,Manhiça,Instituições Seguradoras,2.0
2025,Q3,District,Cidade de Maputo,Manhiça,ATM,11.0
2025,Q3,District,Cidade de Maputo,Manhiça,POS,155.0
2025,Q3,District,Cidade de Maputo,Manhiça,TOTAL,3614.0
2025,Q3,District,Cidade de Maputo,Marracuene,Agências(1),2.0
2025,Q3,District,Cidade de Maputo,Marracuene,Agências Microbancos e Cooperativas de Crédito,2.0
2025,Q3,District,Cidade de Maputo,Marracuene,Agentes Bancários (2),5.0
2025,Q3,District,Cidade de Maputo,Marracuene,Agentes Não Bancários (IME) (3),9748.0
2025,Q3,District,Cidade de Maputo,Marracuene,Operadores de Microcrédito,82.0
2025,Q3,District,Cidade de Maputo,Marracuene,Instituições Seguradoras,0.0
2025,Q3,District,Cidade de Maputo,Marracuene,ATM,8.0
2025,Q3,District,Cidade de Maputo,Marracuene,POS,681.0
2025,Q3,District,Cidade de Maputo,Marracuene,TOTAL,10528.0
2025,Q3,District,Cidade de Maputo,Matutuíne,Agências(1),3.0
2025,Q3,District,Cidade de Maputo,Matutuíne,Agências Microbancos e Cooperativas de Crédito,1.0
2025,Q3,District,Cidade de Maputo,Matutuíne,Agentes Bancários (2),1.0
2025,Q3,District,Cidade de Maputo,Matutuíne,Agentes Não Bancários (IME) (3),852.0
2025,Q3,District,Cidade de Maputo,Matutuíne,Operadores de Microcrédito,5.0
2025,Q3,District,Cidade de Maputo,Matutuíne,Instituições Seguradoras,0.0
2025,Q3,District,Cidade de Maputo,Matutuíne,ATM,3.0
2025,Q3,District,Cidade de Maputo,Matutuíne,POS,311.0
2025,Q3,District,Cidade de Maputo,Matutuíne,TOTAL,1176.0
2025,Q3,District,Cidade de Maputo,Namaacha,Agências(1),1.0
2025,Q3,District,Cidade de Maputo,Namaacha,Agências Microbancos e Cooperativas de Crédito,1.0
2025,Q3,District,Cidade de Maputo,Namaacha,Agentes Bancários (2),1.0
2025,Q3,District,Cidade de Maputo,Namaacha,Agentes Não Bancários (IME) (3),644.0
2025,Q3,District,Cidade de Maputo,Namaacha,Operadores de Microcrédito,2.0
2025,Q3,District,Cidade de Maputo,Namaacha,Instituições Seguradoras,0.0
2025,Q3,District,Cidade de Maputo,Namaacha,ATM,2.0
2025,Q3,District,Cidade de Maputo,Namaacha,POS,37.0
2025,Q3,District,Cidade de Maputo,Namaacha,TOTAL,688.0
2025,Q3,District,Cidade de Maputo,Moamba,Agências(1),6.0
2025,Q3,District,Cidade de Maputo,Moamba,Agências Microbancos e Cooperativas de Crédito,2.0
2025,Q3,District,Cidade de Maputo,Moamba,Agentes Bancários (2),3.0
2025,Q3,District,Cidade de Maputo,Moamba,Agentes Não Bancários (IME) (3),2193.0
2025,Q3,District,Cidade de Maputo,Moamba,Operadores de Microcrédito,3.0
2025,Q3,District,Cidade de Maputo,Moamba,Instituições Seguradoras,0.0
2025,Q3,District,Cidade de Maputo,Moamba,ATM,10.0
2025,Q3,District,Cidade de Maputo,Moamba,POS,91.0
2025,Q3,District,Cidade de Maputo,Moamba,TOTAL,2308.0
2025,Q3,District,Cidade de Maputo,Gaza,Agências(1),35.0
2025,Q3,District,Cidade de Maputo,Gaza,Agências Microbancos e Cooperativas de Crédito,5.0
2025,Q3,District,Cidade de Maputo,Gaza,Agentes Bancários (2),28.0
2025,Q3,District,Cidade de Maputo,Gaza,Agentes Não Bancários (IME) (3),23396.0
2025,Q3,District,Cidade de Maputo,Gaza,Operadores de Microcrédito,83.0
2025,Q3,District,Cidade de Maputo,Gaza,Instituições Seguradoras,9.0
2025,Q3,District,Cidade de Maputo,Gaza,ATM,70.0
2025,Q3,District,Cidade de Maputo,Gaza,POS,1301.0
2025,Q3,District,Cidade de Maputo,Gaza,TOTAL,24927.0
2025,Q3,District,Cidade de Maputo,Xai-Xai,Agências(1),14.0
2025,Q3,District,Cidade de Maputo,Xai-Xai,Agências Microbancos e Cooperativas de Crédito,4.0
2025,Q3,District,Cidade de Maputo,Xai-Xai,Agentes Bancários (2),12.0
2025,Q3,District,Cidade de Maputo,Xai-Xai,Agentes Não Bancários (IME) (3),6758.0
2025,Q3,District,Cidade de Maputo,Xai-Xai,Operadores de Microcrédito,47.0
2025,Q3,District,Cidade de Maputo,Xai-Xai,Instituições Seguradoras,4.0
2025,Q3,District,Cidade de Maputo,Xai-Xai,ATM,31.0
2025,Q3,District,Cidade de Maputo,Xai-Xai,POS,689.0
2025,Q3,District,Cidade de Maputo,Xai-Xai,TOTAL,7559.0
2025,Q3,District,Cidade de Maputo,Bilene,Agências(1),5.0
2025,Q3,District,Cidade de Maputo,Bilene,Agências Microbancos e Cooperativas de Crédito,0.0
