Table,Indicator,Period,Year,Quarter,Value
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas Bancarias (por 10,000 km2)",2020Q1,2020,Q1,62532.61594312585
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas Bancarias (por 10,000 km2)",2020Q2,2020,Q2,62912.01044811035
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas Bancarias (por 10,000 km2)",2020Q3,2020,Q3,63416.06421985066
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas Bancarias (por 10,000 km2)",2020,2020,,64008.94944700824
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas Bancarias (por 10,000 km2)",2021Q1,2021,Q1,64573.66280575297
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas Bancarias (por 10,000 km2)",2021Q2,2021,Q2,65513.06701827294
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas Bancarias (por 10,000 km2)",2021Q3,2021,Q3,66022.32482964902
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas Bancarias (por 10,000 km2)",2021,2021,,64728.02012562251
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas Bancarias (por 10,000 km2)",2022Q1,2022,Q1,64894.211631779166
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas Bancarias (por 10,000 km2)",2022Q2,2022,Q2,67870.67210922479
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas Bancarias (por 10,000 km2)",2022Q3,2022,Q3,67153.26522212868
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas Bancarias (por 10,000 km2)",2022,2022,,66627.91992284011
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas Bancarias (por 10,000 km2)",2023Q1,2023,Q1,67305.48338147487
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas Bancarias (por 10,000 km2)",2023Q2,2023,Q2,67781.33053116166
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas Bancarias (por 10,000 km2)",2023Q3,2023,Q3,68847.11901723836
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas Bancarias (por 10,000 km2)",2023Q4,2023,Q4,69779.00372788911
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas Bancarias (por 10,000 km2)",2024Q1,2024,Q1,70377.69271185169
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas Bancarias (por 10,000 km2)",2024Q2,2024,Q2,72270.98501338538
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas Bancarias (por 10,000 km2)",2024Q3,2024,Q3,75921.15139232906
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas Bancarias (por 10,000 km2)",2024Q4,2024,Q4,77067.902624534
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas Bancarias (por 10,000 km2)",2025Q1,2025,Q1,78189.23415647127
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas Bancarias (por 10,000 km2)",2025Q2,2025,Q2,79218.54437188822
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,"Contas Bancarias (por 10,000 km2)",2025Q3,2025,Q3,80352.3855988391
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas bancárias com titular mulher (por 10.000 km2),2020Q1,2020,Q1,20201.318773698084
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas bancárias com titular mulher (por 10.000 km2),2020Q2,2020,Q2,21038.831392868717
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas bancárias com titular mulher (por 10.000 km2),2020Q3,2020,Q3,21104.194631082377
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas bancárias com titular mulher (por 10.000 km2),2020,2020,,21272.888079371613
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas bancárias com titular mulher (por 10.000 km2),2021Q1,2021,Q1,21327.255281912585
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas bancárias com titular mulher (por 10.000 km2),2021Q2,2021,Q2,21365.40989943444
TABELA 1: INDICADORES DE ACESSO GEOGRÁFICO,Contas bancárias com titular mulher (por 10.000 km2),2021Q3,2021,Q3,21938.029395318117
