Dataset,Indicator,Year,Value
GDP Expenditure Annual Variation,Consumo final,2020,-2.4062943790278846
GDP Expenditure Annual Variation,Consumo final,2021,3.5046049978363136
GDP Expenditure Annual Variation,Consumo final,2022,6.780773478443591
GDP Expenditure Annual Variation,Consumo final,2023,8.585887019724936
GDP Expenditure Annual Variation,Consumo final,2024,1.4085050743355865
GDP Expenditure Annual Variation,Consumo privado,2020,-0.6034495524102956
GDP Expenditure Annual Variation,Consumo privado,2021,5.82151143550409
GDP Expenditure Annual Variation,Consumo privado,2022,7.242704195500771
GDP Expenditure Annual Variation,Consumo privado,2023,9.110637424202373
GDP Expenditure Annual Variation,Consumo privado,2024,-0.2097634726909825
GDP Expenditure Annual Variation,"Consumo final, governo",2020,-7.827618514090529
GDP Expenditure Annual Variation,"Consumo final, governo",2021,-4.008613622845947
GDP Expenditure Annual Variation,"Consumo final, governo",2022,5.1294351221634615
GDP Expenditure Annual Variation,"Consumo final, governo",2023,6.672268199328624
GDP Expenditure Annual Variation,"Consumo final, governo",2024,7.444777168153749
GDP Expenditure Annual Variation,Forma. bruta de capital fixo,2020,9.080141555922271
GDP Expenditure Annual Variation,Forma. bruta de capital fixo,2021,0.7352776956417673
GDP Expenditure Annual Variation,Forma. bruta de capital fixo,2022,23.795323186566698
GDP Expenditure Annual Variation,Forma. bruta de capital fixo,2023,-42.50763298131845
GDP Expenditure Annual Variation,Forma. bruta de capital fixo,2024,-16.039392708270196
GDP Expenditure Annual Variation,Variação de existências,2020,-1515.8972100672297
GDP Expenditure Annual Variation,Variação de existências,2021,1675.7056097103361
GDP Expenditure Annual Variation,Variação de existências,2022,2650.58098071554
GDP Expenditure Annual Variation,Variação de existências,2023,-534.6838156230415
GDP Expenditure Annual Variation,Variação de existências,2024,0.0
GDP Expenditure Annual Variation,Exportações,2020,-15.158972100672298
GDP Expenditure Annual Variation,Exportações,2021,16.757056097103362
GDP Expenditure Annual Variation,Exportações,2022,26.5058098071554
GDP Expenditure Annual Variation,Exportações,2023,-5.929869294110068
GDP Expenditure Annual Variation,Exportações,2024,-3.4050150602764173
GDP Expenditure Annual Variation,Bens,2020,-17.83325305943755
GDP Expenditure Annual Variation,Bens,2021,25.51048714197519
GDP Expenditure Annual Variation,Bens,2022,25.379711446428033
GDP Expenditure Annual Variation,Bens,2023,-7.548471573486159
GDP Expenditure Annual Variation,Bens,2024,-4.161762367413635
GDP Expenditure Annual Variation,Serviços,2020,-2.031479896668742
GDP Expenditure Annual Variation,Serviços,2021,-19.281102927254334
GDP Expenditure Annual Variation,Serviços,2022,33.71465010993775
GDP Expenditure Annual Variation,Serviços,2023,3.785906848677789
GDP Expenditure Annual Variation,Serviços,2024,0.6413396156024431
GDP Expenditure Annual Variation,Menos: Importações,2020,-4.2042284295337184
GDP Expenditure Annual Variation,Menos: Importações,2021,9.688810175390694
GDP Expenditure Annual Variation,Menos: Importações,2022,30.885777363011147
GDP Expenditure Annual Variation,Menos: Importações,2023,-25.26907115298599
GDP Expenditure Annual Variation,Menos: Importações,2024,-10.681418967996992
GDP Expenditure Annual Variation,Bens,2020,-10.533161045016204
GDP Expenditure Annual Variation,Bens,2021,23.31930965860831
GDP Expenditure Annual Variation,Bens,2022,42.070585400966465
GDP Expenditure Annual Variation,Bens,2023,-25.02592287977422
GDP Expenditure Annual Variation,Bens,2024,-13.70315081174005
GDP Expenditure Annual Variation,Serviços,2020,12.48620115791763
GDP Expenditure Annual Variation,Serviços,2021,-18.90102533947873
GDP Expenditure Annual Variation,Serviços,2022,-4.787592970460497
GDP Expenditure Annual Variation,Serviços,2023,-26.42624183707085
GDP Expenditure Annual Variation,Serviços,2024,3.9730586666861356
GDP Expenditure Annual Variation,PIBpm,2020,-1.219522927391914
GDP Expenditure Annual Variation,PIBpm,2021,2.377432480979169
GDP Expenditure Annual Variation,PIBpm,2022,4.364453930492984
GDP Expenditure Annual Variation,PIBpm,2023,5.4815218971288715
GDP Expenditure Annual Variation,PIBpm,2024,2.148571530775212
GDP Expenditure Annual Variation,Descrição,2020,2020.0
GDP Expenditure Annual Variation,Descrição,2021,2021.0
GDP Expenditure Annual Variation,Descrição,2022,2022.0
GDP Expenditure Annual Variation,Descrição,2023,2023.0
GDP Expenditure Annual Variation,Descrição,2024,2024.0
GDP Expenditure Annual Variation,Consumo final,2020,3.3166562208182038
GDP Expenditure Annual Variation,Consumo final,2021,5.155495927116838
GDP Expenditure Annual Variation,Consumo final,2022,8.337618172240123
GDP Expenditure Annual Variation,Consumo final,2023,5.259751237765609
GDP Expenditure Annual Variation,Consumo final,2024,3.9037886299421842
GDP Expenditure Annual Variation,Consumo privado,2020,4.0095370709692935
GDP Expenditure Annual Variation,Consumo privado,2021,6.163624724757644
GDP Expenditure Annual Variation,Consumo privado,2022,11.578051046867554
GDP Expenditure Annual Variation,Consumo privado,2023,4.484967776088
GDP Expenditure Annual Variation,Consumo privado,2024,3.1781499446845496
GDP Expenditure Annual Variation,"Consumo final, governo",2020,1.0697958294640042
GDP Expenditure Annual Variation,"Consumo final, governo",2021,1.2073564111362955
GDP Expenditure Annual Variation,"Consumo final, governo",2022,-4.553832894353893
GDP Expenditure Annual Variation,"Consumo final, governo",2023,8.412139219959535
GDP Expenditure Annual Variation,"Consumo final, governo",2024,8.223334449202003
GDP Expenditure Annual Variation,Forma. bruta de capital fixo,2020,2.534869626064773
GDP Expenditure Annual Variation,Forma. bruta de capital fixo,2021,-4.31059131662983
GDP Expenditure Annual Variation,Forma. bruta de capital fixo,2022,-1.5185140177275902
GDP Expenditure Annual Variation,Forma. bruta de capital fixo,2023,-12.819205797638155
GDP Expenditure Annual Variation,Forma. bruta de capital fixo,2024,17.095465510856165
GDP Expenditure Annual Variation,Variação de existências,2020,0.0
GDP Expenditure Annual Variation,Variação de existências,2021,0.0
GDP Expenditure Annual Variation,Variação de existências,2022,0.0
GDP Expenditure Annual Variation,Variação de existências,2023,0.0
GDP Expenditure Annual Variation,Variação de existências,2024,0.0
GDP Expenditure Annual Variation,Exportações,2020,6.047251828682154
GDP Expenditure Annual Variation,Exportações,2021,12.812353658625897
GDP Expenditure Annual Variation,Exportações,2022,11.19560445178578
GDP Expenditure Annual Variation,Exportações,2023,7.875738560244172
GDP Expenditure Annual Variation,Exportações,2024,5.726778538275457
GDP Expenditure Annual Variation,Bens,2020,5.038632940258259
GDP Expenditure Annual Variation,Bens,2021,15.144949952133647
GDP Expenditure Annual Variation,Bens,2022,12.923886523006
GDP Expenditure Annual Variation,Bens,2023,8.856856617719334
GDP Expenditure Annual Variation,Bens,2024,5.0674871912514075
GDP Expenditure Annual Variation,Serviços,2020,10.202044146185884
GDP Expenditure Annual Variation,Serviços,2021,0.9318012340393755
GDP Expenditure Annual Variation,Serviços,2022,0.4382655460776208
GDP Expenditure Annual Variation,Serviços,2023,3.710288537665618
GDP Expenditure Annual Variation,Serviços,2024,11.239593482482357
GDP Expenditure Annual Variation,Menos: Importações,2020,4.31462371115352
GDP Expenditure Annual Variation,Menos: Importações,2021,4.28744325156456
GDP Expenditure Annual Variation,Menos: Importações,2022,3.686978100433125
GDP Expenditure Annual Variation,Menos: Importações,2023,4.922511186016765
GDP Expenditure Annual Variation,Menos: Importações,2024,6.407822206681546
GDP Expenditure Annual Variation,Bens,2020,5.029553454510971
GDP Expenditure Annual Variation,Bens,2021,2.746610333287869
GDP Expenditure Annual Variation,Bens,2022,6.150101970043953
GDP Expenditure Annual Variation,Bens,2023,4.908025032496566
GDP Expenditure Annual Variation,Bens,2024,7.134327168283838
GDP Expenditure Annual Variation,Serviços,2020,2.815000038975768
GDP Expenditure Annual Variation,Serviços,2021,8.515978584644945
GDP Expenditure Annual Variation,Serviços,2022,-6.3777739217000695
GDP Expenditure Annual Variation,Serviços,2023,4.840059488937998
GDP Expenditure Annual Variation,Serviços,2024,4.658962617103879
GDP Expenditure Annual Variation,PIBpm,2020,3.1716630623985553
GDP Expenditure Annual Variation,PIBpm,2021,4.550572006342946
GDP Expenditure Annual Variation,PIBpm,2022,9.151608976107163
GDP Expenditure Annual Variation,PIBpm,2023,5.09027550818173
GDP Expenditure Annual Variation,PIBpm,2024,6.464875046829932
