Year,Month,Province,District,Subscribers
2023,Abril,Cabo Delgado,Ancuabe,46309.0
2023,Abril,Cabo Delgado,Balama,35561.0
2023,Abril,Cabo Delgado,Chiúre,65122.0
2023,Abril,Cabo Delgado,Cidade de Pemba,287586.0
2023,Abril,Cabo Delgado,Ibo,5049.0
2023,Abril,Cabo Delgado,Macomia,20479.0
2023,Abril,Cabo Delgado,Mecufi,15870.0
2023,Abril,Cabo Delgado,Meluco,9925.0
2023,Abril,Cabo Delgado,Mocimboa da Praia,37824.0
2023,Abril,Cabo Delgado,Montepuez,122254.0
2023,Abril,Cabo Delgado,Mueda,81100.0
2023,Abril,Cabo Delgado,Muidumbe,10331.0
2023,Abril,Cabo Delgado,Namuno,25401.0
2023,Abril,Cabo Delgado,Nangade,17349.0
2023,Abril,Cabo Delgado,Palma,36169.0
2023,Abril,Cabo Delgado,Pemba-Metuge,30578.0
2023,Abril,Cabo Delgado,Quissanga,4907.0
2023,Abril,Gaza,Bilene-Macia,135772.0
2023,Abril,Gaza,Chibuto,109861.0
2023,Abril,Gaza,Chicualacuala,9687.0
2023,Abril,Gaza,Chigubo,4658.0
2023,Abril,Gaza,Chonguene,75648.0
2023,Abril,Gaza,Chókwè,124188.0
2023,Abril,Gaza,Cidade de Xai-Xai,161836.0
2023,Abril,Gaza,Guijá,33840.0
2023,Abril,Gaza,Limpopo,79896.0
2023,Abril,Gaza,Mabalane,12728.0
2023,Abril,Gaza,Manjacaze,84270.0
2023,Abril,Gaza,Mapai,12165.0
2023,Abril,Gaza,Massangena,4788.0
2023,Abril,Gaza,Massingir,8972.0
2023,Abril,Inhambane,Cidade de Inhambane,94986.0
2023,Abril,Inhambane,Cidade de Maxixe,127592.0
2023,Abril,Inhambane,Funhaloro,13081.0
2023,Abril,Inhambane,Govuro,25067.0
2023,Abril,Inhambane,Homoine,46257.0
2023,Abril,Inhambane,Inharrime,68614.0
2023,Abril,Inhambane,Inhassoro,45734.0
2023,Abril,Inhambane,Jangamo,62177.0
2023,Abril,Inhambane,Mabote,15317.0
2023,Abril,Inhambane,Massinga,136943.0
2023,Abril,Inhambane,Morrumbene,61706.0
2023,Abril,Inhambane,Panda,23292.0
2023,Abril,Inhambane,Vilankulo,114707.0
