Year,Month,Province,District,Gender,Age,Subscribers
2023,Janeiro,Província de Maputo,Cidade de Maputo,Homens,0 a 16,81.0
2023,Janeiro,Província de Maputo,Cidade de Maputo,Mulheres,0 a 16,96.0
2023,Janeiro,Província de Maputo,Cidade de Maputo,Homens,17 a 21,64666.0
2023,Janeiro,Província de Maputo,Cidade de Maputo,Mulheres,17 a 21,69633.0
2023,Janeiro,Província de Maputo,Cidade de Maputo,Homens,22 a 60,575237.0
2023,Janeiro,Província de Maputo,Cidade de Maputo,Mulheres,22 a 60,515706.0
2023,Janeiro,Província de Maputo,Cidade de Maputo,Homens,Mais de 60,42305.0
2023,Janeiro,Província de Maputo,Cidade de Maputo,Mulheres,Mais de 60,37620.0
2023,Janeiro,Província de Maputo,Cidade de Maputo,Outros,N/A,58242.0
2023,Fevereiro,Província de Maputo,Cidade de Maputo,Homens,0 a 16,84.0
2023,Fevereiro,Província de Maputo,Cidade de Maputo,Mulheres,0 a 16,109.0
2023,Fevereiro,Província de Maputo,Cidade de Maputo,Homens,17 a 21,67655.0
2023,Fevereiro,Província de Maputo,Cidade de Maputo,Mulheres,17 a 21,72519.0
2023,Fevereiro,Província de Maputo,Cidade de Maputo,Homens,22 a 60,593420.0
2023,Fevereiro,Província de Maputo,Cidade de Maputo,Mulheres,22 a 60,532271.0
2023,Fevereiro,Província de Maputo,Cidade de Maputo,Homens,Mais de 60,43135.0
2023,Fevereiro,Província de Maputo,Cidade de Maputo,Mulheres,Mais de 60,39216.0
2023,Fevereiro,Província de Maputo,Cidade de Maputo,Outros,N/A,62198.0
2023,Março,Província de Maputo,Cidade de Maputo,Homens,0 a 16,128.0
2023,Março,Província de Maputo,Cidade de Maputo,Mulheres,0 a 16,122.0
2023,Março,Província de Maputo,Cidade de Maputo,Homens,17 a 21,70472.0
2023,Março,Província de Maputo,Cidade de Maputo,Mulheres,17 a 21,74914.0
2023,Março,Província de Maputo,Cidade de Maputo,Homens,22 a 60,609556.0
2023,Março,Província de Maputo,Cidade de Maputo,Mulheres,22 a 60,547114.0
2023,Março,Província de Maputo,Cidade de Maputo,Homens,Mais de 60,44087.0
2023,Março,Província de Maputo,Cidade de Maputo,Mulheres,Mais de 60,40009.0
2023,Março,Província de Maputo,Cidade de Maputo,Outros,N/A,66902.0
2023,Abril,Província de Maputo,Cidade de Maputo,Homens,0 a 16,199.0
2023,Abril,Província de Maputo,Cidade de Maputo,Mulheres,0 a 16,162.0
2023,Abril,Província de Maputo,Cidade de Maputo,Homens,17 a 21,70560.0
2023,Abril,Província de Maputo,Cidade de Maputo,Mulheres,17 a 21,75480.0
2023,Abril,Província de Maputo,Cidade de Maputo,Homens,22 a 60,601088.0
2023,Abril,Província de Maputo,Cidade de Maputo,Mulheres,22 a 60,539056.0
2023,Abril,Província de Maputo,Cidade de Maputo,Homens,Mais de 60,44009.0
2023,Abril,Província de Maputo,Cidade de Maputo,Mulheres,Mais de 60,40016.0
2023,Abril,Província de Maputo,Cidade de Maputo,Outros,N/A,70450.0
2023,Maio,Província de Maputo,Cidade de Maputo,Homens,0 a 16,305.0
2023,Maio,Província de Maputo,Cidade de Maputo,Mulheres,0 a 16,261.0
2023,Maio,Província de Maputo,Cidade de Maputo,Homens,17 a 21,73524.0
2023,Maio,Província de Maputo,Cidade de Maputo,Mulheres,17 a 21,78109.0
2023,Maio,Província de Maputo,Cidade de Maputo,Homens,22 a 60,603255.0
2023,Maio,Província de Maputo,Cidade de Maputo,Mulheres,22 a 60,543177.0
2023,Maio,Província de Maputo,Cidade de Maputo,Homens,Mais de 60,43441.0
2023,Maio,Província de Maputo,Cidade de Maputo,Mulheres,Mais de 60,40259.0
2023,Maio,Província de Maputo,Cidade de Maputo,Outros,N/A,70208.0
2023,Junho,Província de Maputo,Cidade de Maputo,Homens,0 a 16,415.0
2023,Junho,Província de Maputo,Cidade de Maputo,Mulheres,0 a 16,335.0
2023,Junho,Província de Maputo,Cidade de Maputo,Homens,17 a 21,75964.0
2023,Junho,Província de Maputo,Cidade de Maputo,Mulheres,17 a 21,80378.0
2023,Junho,Província de Maputo,Cidade de Maputo,Homens,22 a 60,608559.0
2023,Junho,Província de Maputo,Cidade de Maputo,Mulheres,22 a 60,549842.0
2023,Junho,Província de Maputo,Cidade de Maputo,Homens,Mais de 60,43230.0
2023,Junho,Província de Maputo,Cidade de Maputo,Mulheres,Mais de 60,40729.0
2023,Junho,Província de Maputo,Cidade de Maputo,Outros,N/A,74178.0
