Year,Month,Province,District,Gender,Age,Subscribers
2025,Janeiro,Província de Maputo,Cidade de Maputo,Homens,0 a 16,2467.0
2025,Janeiro,Província de Maputo,Cidade de Maputo,Mulheres,0 a 16,2185.0
2025,Janeiro,Província de Maputo,Cidade de Maputo,Homens,17 a 21,137052.0
2025,Janeiro,Província de Maputo,Cidade de Maputo,Mulheres,17 a 21,115672.0
2025,Janeiro,Província de Maputo,Cidade de Maputo,Homens,22 a 60,871109.0
2025,Janeiro,Província de Maputo,Cidade de Maputo,Mulheres,22 a 60,673664.0
2025,Janeiro,Província de Maputo,Cidade de Maputo,Homens,Mais de 60,54025.0
2025,Janeiro,Província de Maputo,Cidade de Maputo,Mulheres,Mais de 60,49589.0
2025,Janeiro,Província de Maputo,Cidade de Maputo,Outros,N/A,2600.0
2025,Fevereiro,Província de Maputo,Cidade de Maputo,Homens,0 a 16,1909.0
2025,Fevereiro,Província de Maputo,Cidade de Maputo,Mulheres,0 a 16,1630.0
2025,Fevereiro,Província de Maputo,Cidade de Maputo,Homens,17 a 21,94964.0
2025,Fevereiro,Província de Maputo,Cidade de Maputo,Mulheres,17 a 21,91037.0
2025,Fevereiro,Província de Maputo,Cidade de Maputo,Homens,22 a 60,699126.0
2025,Fevereiro,Província de Maputo,Cidade de Maputo,Mulheres,22 a 60,609668.0
2025,Fevereiro,Província de Maputo,Cidade de Maputo,Homens,Mais de 60,50161.0
2025,Fevereiro,Província de Maputo,Cidade de Maputo,Mulheres,Mais de 60,49190.0
2025,Fevereiro,Província de Maputo,Cidade de Maputo,Outros,N/A,2843.0
2025,Março,Província de Maputo,Cidade de Maputo,Homens,0 a 16,2965.0
2025,Março,Província de Maputo,Cidade de Maputo,Mulheres,0 a 16,2823.0
2025,Março,Província de Maputo,Cidade de Maputo,Homens,17 a 21,148359.0
2025,Março,Província de Maputo,Cidade de Maputo,Mulheres,17 a 21,127141.0
2025,Março,Província de Maputo,Cidade de Maputo,Homens,22 a 60,921137.0
2025,Março,Província de Maputo,Cidade de Maputo,Mulheres,22 a 60,717411.0
2025,Março,Província de Maputo,Cidade de Maputo,Homens,Mais de 60,56805.0
2025,Março,Província de Maputo,Cidade de Maputo,Mulheres,Mais de 60,52538.0
2025,Março,Província de Maputo,Cidade de Maputo,Outros,N/A,3028.0
2025,Abril,Província de Maputo,Cidade de Maputo,Homens,0 a 16,3007.0
2025,Abril,Província de Maputo,Cidade de Maputo,Mulheres,0 a 16,2882.0
2025,Abril,Província de Maputo,Cidade de Maputo,Homens,17 a 21,150875.0
2025,Abril,Província de Maputo,Cidade de Maputo,Mulheres,17 a 21,129990.0
2025,Abril,Província de Maputo,Cidade de Maputo,Homens,22 a 60,941119.0
2025,Abril,Província de Maputo,Cidade de Maputo,Mulheres,22 a 60,736917.0
2025,Abril,Província de Maputo,Cidade de Maputo,Homens,Mais de 60,57709.0
2025,Abril,Província de Maputo,Cidade de Maputo,Mulheres,Mais de 60,53775.0
2025,Abril,Província de Maputo,Cidade de Maputo,Outros,N/A,3010.0
2025,Maio,Província de Maputo,Cidade de Maputo,Homens,0 a 16,3441.0
2025,Maio,Província de Maputo,Cidade de Maputo,Mulheres,0 a 16,3277.0
2025,Maio,Província de Maputo,Cidade de Maputo,Homens,17 a 21,155813.0
