Year,Month,Province,District,Transaction_Type,Volume,Value
2023,Janeiro,Província de Maputo,Cidade de Maputo,Depósitos,4227546.0,4236412517.67
2023,Fevereiro,Província de Maputo,Cidade de Maputo,Depósitos,4320556.0,4542685835.35
2023,Março,Província de Maputo,Cidade de Maputo,Depósitos,5073832.0,5320398970.139999
2023,Abril,Província de Maputo,Cidade de Maputo,Depósitos,4979650.0,5008908987.34
2023,Maio,Província de Maputo,Cidade de Maputo,Depósitos,5254747.0,5368651403.13
2023,Junho,Província de Maputo,Cidade de Maputo,Depósitos,5072428.0,5262988244.72
2023,Julho,Província de Maputo,Cidade de Maputo,Depósitos,5488758.0,5714362551.03
2023,Agosto,Província de Maputo,Cidade de Maputo,Depósitos,6075842.0,6166669242.059999
2023,Setembro,Província de Maputo,Cidade de Maputo,Depósitos,6008002.0,6250067068.23
2023,Outubro,Província de Maputo,Cidade de Maputo,Depósitos,5636627.0,5910089389.04
2023,Novembro,Província de Maputo,Cidade de Maputo,Depósitos,7622435.0,7867795298.52
2023,Dezembro,Província de Maputo,Cidade de Maputo,Depósitos,6455796.0,7835124855.129999
2023,Janeiro,Província de Maputo,Cidade da Matola,Depósitos,3491970.0,2746149496.6
2023,Fevereiro,Província de Maputo,Cidade da Matola,Depósitos,3409269.0,2725082086.48
2023,Março,Província de Maputo,Cidade da Matola,Depósitos,3942882.0,3131920736.63
2023,Abril,Província de Maputo,Cidade da Matola,Depósitos,3939018.0,3097832153.26
2023,Maio,Província de Maputo,Cidade da Matola,Depósitos,4165811.0,3319522712.29
2023,Junho,Província de Maputo,Cidade da Matola,Depósitos,3993215.0,3207759170.77
2023,Julho,Província de Maputo,Cidade da Matola,Depósitos,4462921.0,3610269564.67
2023,Agosto,Província de Maputo,Cidade da Matola,Depósitos,4866485.0,3944539758.71
2023,Setembro,Província de Maputo,Cidade da Matola,Depósitos,4861333.0,4037989131.64
2023,Outubro,Província de Maputo,Cidade da Matola,Depósitos,4762601.0,3968088224.14
2023,Novembro,Província de Maputo,Cidade da Matola,Depósitos,6364448.0,5398861550.23
2023,Dezembro,Província de Maputo,Cidade da Matola,Depósitos,5356544.0,5297539127.8
2023,Janeiro,Província de Maputo,Boane,Depósitos,491695.0,418141167.47
2023,Fevereiro,Província de Maputo,Boane,Depósitos,466295.0,403090122.25
2023,Março,Província de Maputo,Boane,Depósitos,566258.0,477569123.41
2023,Abril,Província de Maputo,Boane,Depósitos,600507.0,502447499.88
2023,Maio,Província de Maputo,Boane,Depósitos,629860.0,511019671.72
2023,Junho,Província de Maputo,Boane,Depósitos,616606.0,529719745.15
2023,Julho,Província de Maputo,Boane,Depósitos,682996.0,580567615.26
2023,Agosto,Província de Maputo,Boane,Depósitos,758309.0,641902545.06
2023,Setembro,Província de Maputo,Boane,Depósitos,756812.0,657877833.3299999
2023,Outubro,Província de Maputo,Boane,Depósitos,763385.0,666294310.22
2023,Novembro,Província de Maputo,Boane,Depósitos,997433.0,883863884.86
2023,Dezembro,Província de Maputo,Boane,Depósitos,880994.0,924516296.06
2023,Janeiro,Província de Maputo,Magude,Depósitos,55480.0,49155649.27
2023,Fevereiro,Província de Maputo,Magude,Depósitos,52766.0,43350104.79
2023,Março,Província de Maputo,Magude,Depósitos,66115.0,57635748.58
2023,Abril,Província de Maputo,Magude,Depósitos,68100.0,56069358.870000005
2023,Maio,Província de Maputo,Magude,Depósitos,72400.0,61276810.91
2023,Junho,Província de Maputo,Magude,Depósitos,71856.0,67416596.75
2023,Julho,Província de Maputo,Magude,Depósitos,76718.0,68969803.34
2023,Agosto,Província de Maputo,Magude,Depósitos,83733.0,73415414.97999999
2023,Setembro,Província de Maputo,Magude,Depósitos,83049.0,75561974.46000001
2023,Outubro,Província de Maputo,Magude,Depósitos,85149.0,74657295.5
2023,Novembro,Província de Maputo,Magude,Depósitos,114057.0,98164689.42
2023,Dezembro,Província de Maputo,Magude,Depósitos,93200.0,98658657.08
2023,Janeiro,Província de Maputo,Manhiça,Depósitos,301817.0,197008369.55
2023,Fevereiro,Província de Maputo,Manhiça,Depósitos,286585.0,190177708.29
2023,Março,Província de Maputo,Manhiça,Depósitos,330075.0,213692077.03
2023,Abril,Província de Maputo,Manhiça,Depósitos,335690.0,211164365.28
2023,Maio,Província de Maputo,Manhiça,Depósitos,357999.0,229327761.38
2023,Junho,Província de Maputo,Manhiça,Depósitos,334106.0,227459998.43
2023,Julho,Província de Maputo,Manhiça,Depósitos,372502.0,256789699.1
2023,Agosto,Província de Maputo,Manhiça,Depósitos,404494.0,268981326.56
2023,Setembro,Província de Maputo,Manhiça,Depósitos,405161.0,274881025.85
2023,Outubro,Província de Maputo,Manhiça,Depósitos,400512.0,274438633.94
2023,Novembro,Província de Maputo,Manhiça,Depósitos,503520.0,332163106.32
2023,Dezembro,Província de Maputo,Manhiça,Depósitos,449876.0,351333263.6
2023,Janeiro,Província de Maputo,Marracuene,Depósitos,593091.0,481746701.21
2023,Fevereiro,Província de Maputo,Marracuene,Depósitos,569223.0,471998858.01
2023,Março,Província de Maputo,Marracuene,Depósitos,672181.0,575043185.44
2023,Abril,Província de Maputo,Marracuene,Depósitos,807677.0,674466825.45
2023,Maio,Província de Maputo,Marracuene,Depósitos,868348.0,699670583.89
2023,Junho,Província de Maputo,Marracuene,Depósitos,843370.0,725471627.3399999
2023,Julho,Província de Maputo,Marracuene,Depósitos,946325.0,798935135.5899999
2023,Agosto,Província de Maputo,Marracuene,Depósitos,1025570.0,848167449.0799999
2023,Setembro,Província de Maputo,Marracuene,Depósitos,1039483.0,890161572.78
2023,Outubro,Província de Maputo,Marracuene,Depósitos,1024103.0,966671813.46
2023,Novembro,Província de Maputo,Marracuene,Depósitos,1338117.0,1294840619.4099998
2023,Dezembro,Província de Maputo,Marracuene,Depósitos,1158546.0,1301322691.36
2023,Janeiro,Província de Maputo,Matutuíne,Depósitos,80559.0,70493603.22
2023,Fevereiro,Província de Maputo,Matutuíne,Depósitos,77138.0,59272259.66
2023,Março,Província de Maputo,Matutuíne,Depósitos,93245.0,71028575.17
2023,Abril,Província de Maputo,Matutuíne,Depósitos,98341.0,78992058.13
2023,Maio,Província de Maputo,Matutuíne,Depósitos,100006.0,77594705.46000001
2023,Junho,Província de Maputo,Matutuíne,Depósitos,97025.0,78068801.35
2023,Julho,Província de Maputo,Matutuíne,Depósitos,107569.0,86622812.84
2023,Agosto,Província de Maputo,Matutuíne,Depósitos,122642.0,94645024.95
2023,Setembro,Província de Maputo,Matutuíne,Depósitos,121668.0,97137871.37
2023,Outubro,Província de Maputo,Matutuíne,Depósitos,122119.0,95773221.21
2023,Novembro,Província de Maputo,Matutuíne,Depósitos,169422.0,133612587.13
2023,Dezembro,Província de Maputo,Matutuíne,Depósitos,148988.0,147517491.13
2023,Janeiro,Província de Maputo,Namaacha,Depósitos,47091.0,42723682.75
2023,Fevereiro,Província de Maputo,Namaacha,Depósitos,41805.0,47249290.3
2023,Março,Província de Maputo,Namaacha,Depósitos,51020.0,51148921.23
2023,Abril,Província de Maputo,Namaacha,Depósitos,52805.0,55282568.86
2023,Maio,Província de Maputo,Namaacha,Depósitos,56131.0,56128947.75
2023,Junho,Província de Maputo,Namaacha,Depósitos,57922.0,61128813.86
2023,Julho,Província de Maputo,Namaacha,Depósitos,60927.0,61563416.97
2023,Agosto,Província de Maputo,Namaacha,Depósitos,63811.0,64873243.53
2023,Setembro,Província de Maputo,Namaacha,Depósitos,64164.0,66623285.89
2023,Outubro,Província de Maputo,Namaacha,Depósitos,62182.0,62171016.69
