Year,Month,Category,Metric,Sub_Metric,Value
2020,Dezembro,Mobile_Banking,Valor das transferências efectuadas para contas para telemóveis,,8439911651.089997
2020,Abril,Mobile_Banking,Valor das transferências efectuadas para contas,,3896497217.0
2020,Julho,Mobile_Banking,Valor das transferências efectuadas para contas,,5151234175.25
2020,Setembro,Mobile_Banking,Valor das transferências efectuadas para contas para telemóveis,,2929126159.73
2020,Agosto,Mobile_Banking,Valor das transferências efectuadas para contas para telemóveis,,2905081637.19
2020,Julho,Mobile_Banking,Valor das transferências efectuadas para contas para telemóveis,,2869880564.18
2020,Junho,Mobile_Banking,Valor das transferências efectuadas para contas para telemóveis,,2574672591.51
2020,Maio,Mobile_Banking,Valor das transferências efectuadas para contas para telemóveis,,2510249744.38
2020,Abril,Mobile_Banking,Valor das transferências efectuadas para contas para telemóveis,,2311627721.2900004
2020,Janeiro,Mobile_Banking,Valor das transferências efectuadas para contas para telemóveis,,2210073705.21
2020,Dezembro,Mobile_Banking,Volume das transferências efectuadas para telemóveis,,6681720.0
2020,Novembro,Mobile_Banking,Volume das transferências efectuadas para telemóveis,,5441984.0
2020,Outubro,Mobile_Banking,Volume das transferências efectuadas para telemóveis,,1943425.0
2020,Fevereiro,Mobile_Banking,Valor das transferências efectuadas para contas para telemóveis,,2053675177.47
2020,Março,Mobile_Banking,Valor das transferências efectuadas para contas para telemóveis,,2350479069.6400003
2020,Fevereiro,Mobile_Banking,Volume das transferências efectuadas para telemóveis,,1248918.0
2020,Janeiro,Mobile_Banking,Quantidade de subscritores,,2955402.0
2020,Junho,Mobile_Banking,Volume das transferências efectuadas para telemóveis,,1519384.0
2020,Maio,Mobile_Banking,Volume das transferências efectuadas para telemóveis,,1487784.0
2020,Abril,Mobile_Banking,Volume das transferências efectuadas para telemóveis,,1383400.0
2020,Novembro,Mobile_Banking,Valor das transferências efectuadas para contas,,5234497035.3029995
2020,Janeiro,Mobile_Banking,Volume das transferências efectuadas para telemóveis,,1317094.0
2020,Março,Mobile_Banking,Volume das transferências efectuadas para telemóveis,,1387457.0
2020,Outubro,Mobile_Banking,Valor das transferências efectuadas para contas,,5288273609.34
2020,Setembro,Mobile_Banking,Valor das transferências efectuadas para contas,,5051743727.500001
2020,Agosto,Mobile_Banking,Valor das transferências efectuadas para contas,,5117279980.829999
2020,Julho,Mobile_Banking,Volume das transferências efectuadas para telemóveis,,1686547.0
2020,Dezembro,Mobile_Banking,Valor das transferências efectuadas para contas,,6248411084.224399
2020,Outubro,Mobile_Banking,Valor das transferências efectuadas para contas para telemóveis,,3182410890.169999
2020,Agosto,Mobile_Banking,Volume das transferências efectuadas para contas,,772263.0
2020,Agosto,Mobile_Banking,Volume das transferências efectuadas para telemóveis,,1701792.0
2020,Maio,Mobile_Banking,Valor das transferências efectuadas para contas,,4247980039.01
2020,Setembro,Mobile_Banking,Volume das transferências efectuadas para telemóveis,,1726724.0
2020,Novembro,Mobile_Banking,Valor das transferências efectuadas para contas para telemóveis,,6496581821.74
2020,Março,Mobile_Banking,Valor das transferências efectuadas para contas,,4298777566.369999
2020,Fevereiro,Mobile_Banking,Valor das transferências efectuadas para contas,,4176635883.88
2020,Janeiro,Mobile_Banking,Valor das transferências efectuadas para contas,,4107252111.25
2020,Dezembro,Mobile_Banking,Volume das transferências efectuadas para contas,,991924.0
2020,Novembro,Mobile_Banking,Volume das transferências efectuadas para contas,,831237.0
2020,Outubro,Mobile_Banking,Volume das transferências efectuadas para contas,,853081.0
2020,Julho,Mobile_Banking,Volume das transferências efectuadas para contas,,784450.0
2020,Junho,Mobile_Banking,Volume das transferências efectuadas para contas,,725086.0
2020,Maio,Mobile_Banking,Volume das transferências efectuadas para contas,,733399.0
2020,Abril,Mobile_Banking,Volume das transferências efectuadas para contas,,669294.0
2020,Janeiro,Mobile_Banking,Volume das transferências efectuadas para contas,,748717.0
2020,Junho,Mobile_Banking,Valor das transferências efectuadas para contas,,4351709955.76
2020,Setembro,Mobile_Banking,Volume das transferências efectuadas para contas,,762985.0
2020,Junho,Mobile_Banking,Quantidade de subscritores,,3245339.0
2020,Julho,Mobile_Banking,Quantidade de subscritores,,3256107.0
2020,Fevereiro,Mobile_Banking,Quantidade de subscritores,,3021185.0
2020,Março,Mobile_Banking,Quantidade de subscritores,,3029720.0
2020,Abril,Mobile_Banking,Quantidade de subscritores,,3083761.0
2020,Setembro,Mobile_Banking,Quantidade de subscritores,,3364377.0
2020,Fevereiro,Mobile_Banking,Volume das transferências efectuadas para contas,,799803.0
2020,Maio,Mobile_Banking,Quantidade de subscritores,,3186724.0
2020,Outubro,Mobile_Banking,Quantidade de subscritores,,3434539.0
2020,Novembro,Mobile_Banking,Quantidade de subscritores,,3502791.0
