Year,Province,District,Month,POSs_Number
2020,Nampula,Lalaua,Agosto,2.0
2020,Nampula,Lalaua,Setembro,3.0
2020,Nampula,Lalaua,Outubro,3.0
2020,Nampula,Lalaua,Dezembro,3.0
2020,Nampula,Malema,Janeiro,37.0
2020,Nampula,Malema,Fevereiro,35.0
2020,Nampula,Malema,Março,35.0
2020,Nampula,Malema,Abril,37.0
2020,Nampula,Malema,Maio,39.0
2020,Nampula,Lalaua,Novembro,3.0
2020,Nampula,Lalaua,Julho,2.0
2020,Nampula,Lalaua,Abril,6.0
2020,Zambézia,Namarroi,Junho,20.0
2020,Nampula,Lalaua,Maio,2.0
2020,Nampula,Lalaua,Fevereiro,8.0
2020,Nampula,Lalaua,Janeiro,6.0
2020,Nampula,Ilha de Moçambique,Novembro,54.0
2020,Nampula,Ilha de Moçambique,Outubro,55.0
2020,Nampula,Ilha de Moçambique,Setembro,56.0
2020,Nampula,Ilha de Moçambique,Agosto,56.0
2020,Nampula,Ilha de Moçambique,Julho,56.0
2020,Nampula,Malema,Junho,39.0
2020,Nampula,Ilha de Moçambique,Junho,57.0
2020,Nampula,Ilha de Moçambique,Maio,57.0
2020,Nampula,Lalaua,Junho,2.0
2020,Nampula,Lalaua,Março,7.0
2020,Nampula,Ilha de Moçambique,Dezembro,52.0
2020,Nampula,Cidade de Nampula,Setembro,1166.0
2020,Nampula,Meconta (Namialo),Julho,44.0
2020,Nampula,Mecuburi,Agosto,16.0
2020,Nampula,Mecuburi,Julho,13.0
2020,Nampula,Mecuburi,Junho,14.0
2020,Nampula,Mecuburi,Maio,14.0
2020,Nampula,Mecuburi,Abril,13.0
2020,Nampula,Mecuburi,Março,13.0
2020,Nampula,Mecuburi,Fevereiro,9.0
2020,Nampula,Mecuburi,Janeiro,11.0
2020,Nampula,Meconta (Namialo),Dezembro,42.0
2020,Nampula,Meconta (Namialo),Novembro,42.0
2020,Nampula,Meconta (Namialo),Outubro,43.0
2020,Nampula,Meconta (Namialo),Setembro,44.0
2020,Nampula,Meconta (Namialo),Agosto,45.0
2020,Nampula,Meconta (Namialo),Junho,44.0
2020,Nampula,Meconta (Namialo),Maio,45.0
2020,Nampula,Meconta (Namialo),Abril,43.0
2020,Nampula,Meconta (Namialo),Março,43.0
2020,Nampula,Meconta (Namialo),Fevereiro,41.0
2020,Nampula,Meconta (Namialo),Janeiro,42.0
2020,Nampula,Malema,Dezembro,37.0
2020,Nampula,Malema,Novembro,39.0
