Dataset,Indicator,Year,Value
Sectoral Growth Rates,"Agricultura, produção animal, caça e silvicultura",2020,3.880440525417561
Sectoral Growth Rates,"Agricultura, produção animal, caça e silvicultura",2021,3.4015211102404574
Sectoral Growth Rates,"Agricultura, produção animal, caça e silvicultura",2022,5.549470331462558
Sectoral Growth Rates,"Agricultura, produção animal, caça e silvicultura",2023,3.830161303509394
Sectoral Growth Rates,"Agricultura, produção animal, caça e silvicultura",2024,2.3093723265124932
Sectoral Growth Rates,"Pesca, aquacultura, e actividades dos serviços relacionados",2020,-1.2097014927688887
Sectoral Growth Rates,"Pesca, aquacultura, e actividades dos serviços relacionados",2021,3.157491689076797
Sectoral Growth Rates,"Pesca, aquacultura, e actividades dos serviços relacionados",2022,3.153233689701662
Sectoral Growth Rates,"Pesca, aquacultura, e actividades dos serviços relacionados",2023,2.8427132820152634
Sectoral Growth Rates,"Pesca, aquacultura, e actividades dos serviços relacionados",2024,1.4036866018241057
Sectoral Growth Rates,Indústrias extractivas,2020,-13.464041572347462
Sectoral Growth Rates,Indústrias extractivas,2021,2.177358330299417
Sectoral Growth Rates,Indústrias extractivas,2022,8.683965886716205
Sectoral Growth Rates,Indústrias extractivas,2023,34.43326111748164
Sectoral Growth Rates,Indústrias extractivas,2024,8.216264875839752
Sectoral Growth Rates,Manufactura,2020,-1.272479946517191
Sectoral Growth Rates,Manufactura,2021,1.9397743018235492
Sectoral Growth Rates,Manufactura,2022,0.7409861705317544
Sectoral Growth Rates,Manufactura,2023,-4.744419560810853
Sectoral Growth Rates,Manufactura,2024,-6.149555166544241
Sectoral Growth Rates,Produção e distribuição de electricidade e gás,2020,3.3757486541714954
Sectoral Growth Rates,Produção e distribuição de electricidade e gás,2021,-1.8024851454770285
Sectoral Growth Rates,Produção e distribuição de electricidade e gás,2022,2.6730627835980014
Sectoral Growth Rates,Produção e distribuição de electricidade e gás,2023,2.3023177396291894
Sectoral Growth Rates,Produção e distribuição de electricidade e gás,2024,-1.074838345776452
Sectoral Growth Rates,"Captação, tratamento e distribuição de água",2020,12.710898230523892
Sectoral Growth Rates,"Captação, tratamento e distribuição de água",2021,14.577414863208471
Sectoral Growth Rates,"Captação, tratamento e distribuição de água",2022,15.622911505871562
Sectoral Growth Rates,"Captação, tratamento e distribuição de água",2023,7.738349758519947
Sectoral Growth Rates,"Captação, tratamento e distribuição de água",2024,5.207494913275412
Sectoral Growth Rates,Construção,2020,-0.36784057172547513
Sectoral Growth Rates,Construção,2021,0.8677882555111482
Sectoral Growth Rates,Construção,2022,1.2319998635266671
Sectoral Growth Rates,Construção,2023,-3.4310164609478
Sectoral Growth Rates,Construção,2024,-0.315749461163628
Sectoral Growth Rates,"Comércio, reparação de veículos automóveis",2020,-4.213151096419498
Sectoral Growth Rates,"Comércio, reparação de veículos automóveis",2021,2.8817459532190393
Sectoral Growth Rates,"Comércio, reparação de veículos automóveis",2022,0.9141276444321056
Sectoral Growth Rates,"Comércio, reparação de veículos automóveis",2023,0.09710082779861295
Sectoral Growth Rates,"Comércio, reparação de veículos automóveis",2024,-0.8176077235552248
Sectoral Growth Rates,"Transportes, armazenagem e comunicações",2020,-3.3216284170283994
Sectoral Growth Rates,"Transportes, armazenagem e comunicações",2021,1.3673205072806338
Sectoral Growth Rates,"Transportes, armazenagem e comunicações",2022,13.159222324594054
Sectoral Growth Rates,"Transportes, armazenagem e comunicações",2023,5.113224448037235
Sectoral Growth Rates,"Transportes, armazenagem e comunicações",2024,0.7069252746689347
Sectoral Growth Rates,"Alojamento, restaurantes e similares",2020,-19.101624758649848
Sectoral Growth Rates,"Alojamento, restaurantes e similares",2021,-4.322551488258075
Sectoral Growth Rates,"Alojamento, restaurantes e similares",2022,10.72961356539408
Sectoral Growth Rates,"Alojamento, restaurantes e similares",2023,7.47580922287685
Sectoral Growth Rates,"Alojamento, restaurantes e similares",2024,-0.16221533736240357
Sectoral Growth Rates,Informação e comunicação,2020,2.7971842170940064
Sectoral Growth Rates,Informação e comunicação,2021,0.912216781686559
Sectoral Growth Rates,Informação e comunicação,2022,1.3589283788515871
Sectoral Growth Rates,Informação e comunicação,2023,1.6196360004230304
Sectoral Growth Rates,Informação e comunicação,2024,2.2205382984358923
Sectoral Growth Rates,Actividades financeiras,2020,-1.00833383010972
Sectoral Growth Rates,Actividades financeiras,2021,2.79656300198432
Sectoral Growth Rates,Actividades financeiras,2022,3.0937062865646014
Sectoral Growth Rates,Actividades financeiras,2023,4.760319616269326
Sectoral Growth Rates,Actividades financeiras,2024,2.2151452285619655
Sectoral Growth Rates,"Activid. Imob., aluguer e serviç prestados às empres.",2020,0.783636490351558
Sectoral Growth Rates,"Activid. Imob., aluguer e serviç prestados às empres.",2021,1.913844015835453
Sectoral Growth Rates,"Activid. Imob., aluguer e serviç prestados às empres.",2022,0.45587105172189
Sectoral Growth Rates,"Activid. Imob., aluguer e serviç prestados às empres.",2023,3.9584193184129424
Sectoral Growth Rates,"Activid. Imob., aluguer e serviç prestados às empres.",2024,5.3190638217402775
Sectoral Growth Rates,"Administ. pública, defesa e segurança social obrig.",2020,-4.367420006880318
Sectoral Growth Rates,"Administ. pública, defesa e segurança social obrig.",2021,1.382621952458729
Sectoral Growth Rates,"Administ. pública, defesa e segurança social obrig.",2022,2.045820405430132
Sectoral Growth Rates,"Administ. pública, defesa e segurança social obrig.",2023,4.5725076993507585
Sectoral Growth Rates,"Administ. pública, defesa e segurança social obrig.",2024,2.9791519063704808
Sectoral Growth Rates,Educação,2020,-1.5263800341693723
Sectoral Growth Rates,Educação,2021,2.6005451052731
Sectoral Growth Rates,Educação,2022,3.431396394859254
Sectoral Growth Rates,Educação,2023,2.376585154465105
Sectoral Growth Rates,Educação,2024,3.7461792484580148
Sectoral Growth Rates,Saúde e acção social,2020,7.68400065696917
Sectoral Growth Rates,Saúde e acção social,2021,8.252181153251104
Sectoral Growth Rates,Saúde e acção social,2022,2.302931336245506
Sectoral Growth Rates,Saúde e acção social,2023,2.4183313963102027
Sectoral Growth Rates,Saúde e acção social,2024,2.392567421918934
Sectoral Growth Rates,"Outras actividades de serviços colectivos, sociais e pessoais",2020,2.4073997346485188
Sectoral Growth Rates,"Outras actividades de serviços colectivos, sociais e pessoais",2021,2.3965972449456308
Sectoral Growth Rates,"Outras actividades de serviços colectivos, sociais e pessoais",2022,2.3877673119021114
Sectoral Growth Rates,"Outras actividades de serviços colectivos, sociais e pessoais",2023,2.4991225644632964
Sectoral Growth Rates,"Outras actividades de serviços colectivos, sociais e pessoais",2024,2.421551246165765
Sectoral Growth Rates,"Total valores acrescentados, preços de base",2020,-1.817481946213284
Sectoral Growth Rates,"Total valores acrescentados, preços de base",2021,2.3779267780270397
Sectoral Growth Rates,"Total valores acrescentados, preços de base",2022,4.493444769114374
Sectoral Growth Rates,"Total valores acrescentados, preços de base",2023,6.061481999092577
Sectoral Growth Rates,"Total valores acrescentados, preços de base",2024,2.064471342714791
Sectoral Growth Rates,Impostos sobre os Produtos,2020,3.673948563204288
Sectoral Growth Rates,Impostos sobre os Produtos,2021,2.3736301020148343
Sectoral Growth Rates,Impostos sobre os Produtos,2022,3.364686365120151
Sectoral Growth Rates,Impostos sobre os Produtos,2023,0.9371941186254729
Sectoral Growth Rates,Impostos sobre os Produtos,2024,2.840755549685614
Sectoral Growth Rates,Produto  Interno Bruto (PIBpm),2020,-1.2195225030610546
Sectoral Growth Rates,Produto  Interno Bruto (PIBpm),2021,2.3774357374718003
Sectoral Growth Rates,Produto  Interno Bruto (PIBpm),2022,4.364450740164361
Sectoral Growth Rates,Produto  Interno Bruto (PIBpm),2023,5.481490363471142
Sectoral Growth Rates,Produto  Interno Bruto (PIBpm),2024,2.1485496445539543
Sectoral Growth Rates,Descrição,2020,2020.0
Sectoral Growth Rates,Descrição,2021,2021.0
Sectoral Growth Rates,Descrição,2022,2022.0
Sectoral Growth Rates,Descrição,2023,2023.0
Sectoral Growth Rates,Descrição,2024,2024.0
Sectoral Growth Rates,"Agricultura, produção animal, caça e silvicultura",2020,6.472326411742224
Sectoral Growth Rates,"Agricultura, produção animal, caça e silvicultura",2021,3.5636841010437292
Sectoral Growth Rates,"Agricultura, produção animal, caça e silvicultura",2022,2.888442034833849
Sectoral Growth Rates,"Agricultura, produção animal, caça e silvicultura",2023,5.647307265365975
Sectoral Growth Rates,"Agricultura, produção animal, caça e silvicultura",2024,5.480063901209475
Sectoral Growth Rates,"Pesca, aquacultura, e actividades dos serviços relacionados",2020,16.481186358105028
Sectoral Growth Rates,"Pesca, aquacultura, e actividades dos serviços relacionados",2021,-4.205467369929217
Sectoral Growth Rates,"Pesca, aquacultura, e actividades dos serviços relacionados",2022,4.418675610324785
Sectoral Growth Rates,"Pesca, aquacultura, e actividades dos serviços relacionados",2023,15.086267169851354
Sectoral Growth Rates,"Pesca, aquacultura, e actividades dos serviços relacionados",2024,4.051807333410196
Sectoral Growth Rates,Indústrias extractivas,2020,0.16471554025527801
Sectoral Growth Rates,Indústrias extractivas,2021,8.957813263481285
Sectoral Growth Rates,Indústrias extractivas,2022,20.300099956702724
Sectoral Growth Rates,Indústrias extractivas,2023,-21.240418100422186
Sectoral Growth Rates,Indústrias extractivas,2024,13.66809790633441
Sectoral Growth Rates,Manufactura,2020,-1.3732732410743576
Sectoral Growth Rates,Manufactura,2021,1.5515603835111857
Sectoral Growth Rates,Manufactura,2022,14.106121938858763
Sectoral Growth Rates,Manufactura,2023,1.7749399449129788
Sectoral Growth Rates,Manufactura,2024,4.918965411662635
Sectoral Growth Rates,Produção e distribuição de electricidade e gás,2020,1.5007337310036561
Sectoral Growth Rates,Produção e distribuição de electricidade e gás,2021,0.9906431323674969
Sectoral Growth Rates,Produção e distribuição de electricidade e gás,2022,5.822528746183875
Sectoral Growth Rates,Produção e distribuição de electricidade e gás,2023,2.8406548194504833
Sectoral Growth Rates,Produção e distribuição de electricidade e gás,2024,2.3999823085165906
Sectoral Growth Rates,"Captação, tratamento e distribuição de água",2020,-6.402965744640554
Sectoral Growth Rates,"Captação, tratamento e distribuição de água",2021,2.690211648073859
Sectoral Growth Rates,"Captação, tratamento e distribuição de água",2022,7.087527263239601
Sectoral Growth Rates,"Captação, tratamento e distribuição de água",2023,8.835193408652442
Sectoral Growth Rates,"Captação, tratamento e distribuição de água",2024,3.8130474957429383
Sectoral Growth Rates,Construção,2020,-10.794174094430387
Sectoral Growth Rates,Construção,2021,29.42568218068815
