Province,District,Month,Account_Currency,Gender,Total_Accounts,Year,Age
Província de Maputo,Cidade de Maputo,Janeiro,Em Meticais,Homens,903356.0,2020,
Província de Maputo,Boane,Janeiro,Em Meticais,Homens,30264.0,2020,
Província de Maputo,Magude,Janeiro,Em Meticais,Homens,8322.0,2020,
Província de Maputo,Manhiça,Janeiro,Em Meticais,Homens,44883.0,2020,
Província de Maputo,Marracuene,Janeiro,Em Meticais,Homens,14035.0,2020,
Província de Maputo,Matutuíne,Janeiro,Em Meticais,Homens,4524.0,2020,
Província de Maputo,Namaacha,Janeiro,Em Meticais,Homens,5333.0,2020,
Sofala,Caia,Janeiro,Em Meticais,Homens,3780.0,2020,
Província de Maputo,Moamba,Janeiro,Em Meticais,Homens,35847.0,2020,
Gaza,Bilene-Macia,Janeiro,Em Meticais,Homens,19635.0,2020,
Gaza,Chibuto,Janeiro,Em Meticais,Homens,17683.0,2020,
Gaza,Chicualacuala,Janeiro,Em Meticais,Homens,37.0,2020,
Gaza,Chigubo,Janeiro,Em Meticais,Homens,6.0,2020,
Gaza,Chókwè,Janeiro,Em Meticais,Homens,29095.0,2020,
Gaza,Guijá,Janeiro,Em Meticais,Homens,29.0,2020,
Gaza,Mabalane,Janeiro,Em Meticais,Homens,1161.0,2020,
Gaza,Manjacaze,Janeiro,Em Meticais,Homens,7515.0,2020,
Gaza,Cidade de Xai-Xai,Janeiro,Em Meticais,Homens,73086.0,2020,
Província de Maputo,Cidade da Matola,Janeiro,Em Meticais,Homens,182738.0,2020,
Niassa,Chimbunhila,Junho,Em Moeda Estrangeira,Outros,0.0,2020,
Gaza,Massangena,Janeiro,Em Meticais,Homens,0.0,2020,
Gaza,Massingir,Janeiro,Em Meticais,Homens,3981.0,2020,
Inhambane,Cidade de Inhambane,Janeiro,Em Meticais,Homens,30733.0,2020,
Inhambane,Cidade de Maxixe,Janeiro,Em Meticais,Homens,46699.0,2020,
Inhambane,Funhaloro,Janeiro,Em Meticais,Homens,0.0,2020,
Inhambane,Govuro,Janeiro,Em Meticais,Homens,3481.0,2020,
Inhambane,Homoine,Janeiro,Em Meticais,Homens,5188.0,2020,
Inhambane,Inharrime,Janeiro,Em Meticais,Homens,11039.0,2020,
Inhambane,Inhassoro,Janeiro,Em Meticais,Homens,10429.0,2020,
Inhambane,Jangamo,Janeiro,Em Meticais,Homens,5155.0,2020,
Sofala,Chemba,Janeiro,Em Meticais,Homens,2919.0,2020,
Inhambane,Mabote,Janeiro,Em Meticais,Homens,1919.0,2020,
Inhambane,Morrumbene,Janeiro,Em Meticais,Homens,2734.0,2020,
Inhambane,Panda,Janeiro,Em Meticais,Homens,1396.0,2020,
Inhambane,Vilankulo,Janeiro,Em Meticais,Homens,23610.0,2020,
