Year,Province,District,Month,Card_Type,Gender,Age,Total_Cards
2020,Niassa,Chimbunhila,Dezembro,Cartões pré-pagos,Outros*,63570.622803257604,0.0
2020,Niassa,Chimbunhila,Dezembro,Cartões de Débito,Homens,730289,0.0
2020,Niassa,Chimbunhila,Dezembro,Cartões de Crédito,Outros*,3146,0.0
2020,Niassa,Chimbunhila,Dezembro,Cartões de Crédito,Mulheres,19193,0.0
2020,Niassa,Chimbunhila,Novembro,Cartões de Crédito,Homens,46831,0.0
2020,Niassa,Chimbunhila,Novembro,Cartões pré-pagos,Outros*,47481,0.0
2020,Niassa,Chimbunhila,Novembro,Cartões pré-pagos,Mulheres,7099,0.0
2020,Niassa,Chimbunhila,Novembro,Cartões pré-pagos,Homens,18464,0.0
2020,Niassa,Chimbunhila,Novembro,Cartões de Débito,Outros*,34030,0.0
2020,Niassa,Chimbunhila,Novembro,Cartões de Débito,Mulheres,464943,0.0
2020,Niassa,Chimbunhila,Novembro,Cartões de Débito,Homens,720904,0.0
2020,Niassa,Chimbunhila,Dezembro,Cartões pré-pagos,Homens,18167,0.0
2020,Niassa,Chimbunhila,Dezembro,Cartões de Débito,Outros*,34447,0.0
2020,Niassa,Chimbunhila,Dezembro,Cartões de Débito,Mulheres,471597,0.0
2020,Niassa,Chimbunhila,Novembro,Cartões de Crédito,Outros*,3206,0.0
2020,Niassa,Chimbunhila,Outubro,Cartões pré-pagos,Mulheres,6692,0.0
2020,Niassa,Chimbunhila,Outubro,Cartões pré-pagos,Homens,17543,0.0
2020,Niassa,Chimbunhila,Outubro,Cartões de Débito,Outros*,33690,0.0
2020,Niassa,Chimbunhila,Outubro,Cartões de Débito,Mulheres,462558,0.0
2020,Niassa,Chimbunhila,Outubro,Cartões de Débito,Homens,719429,0.0
2020,Niassa,Chimbunhila,Outubro,Cartões de Crédito,Outros*,2672,0.0
2020,Niassa,Chimbunhila,Outubro,Cartões de Crédito,Mulheres,19108,0.0
2020,Niassa,Chimbunhila,Outubro,Cartões de Crédito,Homens,47093,0.0
2020,Niassa,Chimbunhila,Setembro,Cartões pré-pagos,Outros*,55068,0.0
2020,Niassa,Chimbunhila,Junho,Cartões de Débito,Mulheres,505537,0.0
2020,Niassa,Chimbunhila,Setembro,Cartões de Débito,Outros*,33274,0.0
2020,Niassa,Chimbunhila,Setembro,Cartões pré-pagos,Mulheres,26583,0.0
2020,Niassa,Chimbunhila,Outubro,Cartões pré-pagos,Outros*,56695,0.0
2020,Inhambane,Cidade de Inhambane,Novembro,Cartões de Crédito,Homens,48708,845.0
2020,Niassa,Chimbunhila,Novembro,Cartões de Crédito,Homens,48708,0.0
2020,Sofala,Chibabava,Fevereiro,Cartões de Débito,Mulheres,459555,401.0
2020,Niassa,Chimbunhila,Setembro,Cartões de Crédito,Homens,47193,0.0
2020,Niassa,Chimbunhila,Agosto,Cartões pré-pagos,Outros*,50823,0.0
2020,Niassa,Chimbunhila,Agosto,Cartões pré-pagos,Mulheres,16167,0.0
2020,Niassa,Chimbunhila,Agosto,Cartões pré-pagos,Homens,29715,0.0
2020,Niassa,Chimbunhila,Agosto,Cartões de Débito,Outros*,33292,0.0
2020,Niassa,Chimbunhila,Agosto,Cartões de Débito,Mulheres,489029,0.0
2020,Niassa,Chimbunhila,Agosto,Cartões de Débito,Homens,762057,0.0
2020,Niassa,Chimbunhila,Agosto,Cartões de Crédito,Outros*,3259,0.0
2020,Niassa,Chimbunhila,Agosto,Cartões de Crédito,Mulheres,19840,0.0
2020,Niassa,Chimbunhila,Setembro,Cartões de Débito,Mulheres,468743,0.0
2020,Niassa,Chimbunhila,Setembro,Cartões pré-pagos,Homens,9906,0.0
2020,Zambézia,Ile,Dezembro,Cartões pré-pagos,Outros*,63570.622803257604,0.0
2020,Niassa,Chimbunhila,Agosto,Cartões de Crédito,Homens,48915,0.0
2020,Niassa,Chimbunhila,Julho,Cartões de Débito,Outros*,32642,0.0
2020,Niassa,Chimbunhila,Julho,Cartões de Débito,Mulheres,488828,0.0
2020,Niassa,Chimbunhila,Julho,Cartões de Débito,Homens,760419,0.0
2020,Niassa,Chimbunhila,Julho,Cartões de Crédito,Outros*,3193,0.0
2020,Niassa,Chimbunhila,Julho,Cartões de Crédito,Mulheres,19715,0.0
2020,Niassa,Chimbunhila,Julho,Cartões de Crédito,Homens,48628,0.0
2020,Niassa,Chimbunhila,Junho,Cartões pré-pagos,Outros*,46916,0.0
2020,Niassa,Chimbunhila,Junho,Cartões pré-pagos,Mulheres,16034,0.0
2020,Niassa,Chimbunhila,Junho,Cartões pré-pagos,Homens,29510,0.0
2020,Niassa,Chimbunhila,Junho,Cartões de Débito,Outros*,30941,0.0
2020,Niassa,Chimbunhila,Julho,Cartões pré-pagos,Outros*,50239,0.0
2020,Niassa,Chimbunhila,Julho,Cartões pré-pagos,Mulheres,15942,0.0
2020,Niassa,Chimbunhila,Julho,Cartões pré-pagos,Homens,29163,0.0
2020,Niassa,Chimbunhila,Novembro,Cartões de Crédito,Mulheres,19826,0.0
2020,Niassa,Chimbunhila,Junho,Cartões de Débito,Homens,778438,0.0
2020,Niassa,Chimbunhila,Junho,Cartões de Crédito,Outros*,3218,0.0
2020,Niassa,Chimbunhila,Junho,Cartões de Crédito,Mulheres,19942,0.0
2020,Niassa,Chimbunhila,Fevereiro,Cartões pré-pagos,Mulheres,15547,0.0
2020,Niassa,Chimbunhila,Maio,Cartões pré-pagos,Outros*,43442,0.0
2020,Niassa,Chimbunhila,Maio,Cartões pré-pagos,Mulheres,16121,0.0
2020,Niassa,Chimbunhila,Maio,Cartões pré-pagos,Homens,29989,0.0
2020,Niassa,Chimbunhila,Maio,Cartões de Débito,Outros*,29224,0.0
2020,Niassa,Chimbunhila,Maio,Cartões de Débito,Mulheres,487640,0.0
2020,Niassa,Chimbunhila,Maio,Cartões de Débito,Homens,744810,0.0
2020,Niassa,Chimbunhila,Maio,Cartões de Crédito,Outros*,2771,0.0
2020,Niassa,Chimbunhila,Maio,Cartões de Crédito,Mulheres,18955,0.0
2020,Niassa,Chimbunhila,Maio,Cartões de Crédito,Homens,47636,0.0
2020,Niassa,Chimbunhila,Abril,Cartões pré-pagos,Outros*,42499,0.0
2020,Niassa,Chimbunhila,Abril,Cartões pré-pagos,Mulheres,15964,0.0
2020,Niassa,Chimbunhila,Abril,Cartões pré-pagos,Homens,29672,0.0
2020,Niassa,Chimbunhila,Abril,Cartões de Débito,Outros*,28700,0.0
2020,Niassa,Chimbunhila,Abril,Cartões de Débito,Mulheres,454698,0.0
2020,Niassa,Chimbunhila,Abril,Cartões de Débito,Homens,696822,0.0
2020,Niassa,Chimbunhila,Abril,Cartões de Crédito,Outros*,2765,0.0
2020,Niassa,Chimbunhila,Abril,Cartões de Crédito,Mulheres,18703,0.0
2020,Niassa,Chimbunhila,Abril,Cartões de Crédito,Homens,46508,0.0
2020,Niassa,Chimbunhila,Março,Cartões pré-pagos,Outros*,40322.262365273884,0.0
2020,Niassa,Chimbunhila,Março,Cartões pré-pagos,Mulheres,15789,0.0
2020,Niassa,Chimbunhila,Março,Cartões pré-pagos,Homens,29057,0.0
2020,Niassa,Chimbunhila,Março,Cartões de Débito,Outros*,28261,0.0
2020,Niassa,Chimbunhila,Março,Cartões de Débito,Mulheres,482778,0.0
2020,Niassa,Chimbunhila,Março,Cartões de Débito,Homens,736130,0.0
2020,Niassa,Chimbunhila,Março,Cartões de Crédito,Outros*,2811,0.0
2020,Niassa,Chimbunhila,Março,Cartões de Crédito,Mulheres,18818,0.0
