District,Pop_Total_2017,Province,Pop_15plus_2017
Ancuabe,159340,Cabo Delgado,84844
Balama,175733,Cabo Delgado,93573
Chiúre,299235,Cabo Delgado,159334
Ibo,12205,Cabo Delgado,6499
Macomia,114345,Cabo Delgado,60885
Mecufi,61531,Cabo Delgado,32763
Meluco,36700,Cabo Delgado,19542
Pemba-Metuge,86866,Cabo Delgado,46254
Mocimboa da Praia,127705,Cabo Delgado,67999
Montepuez,272069,Cabo Delgado,144869
Mueda,170347,Cabo Delgado,90705
Muidumbe,98864,Cabo Delgado,52642
Namuno,245248,Cabo Delgado,130588
Nangade,89714,Cabo Delgado,47770
Palma,67025,Cabo Delgado,35689
Quissanga,50259,Cabo Delgado,26761
Cidade de Pemba,200529,Cabo Delgado,106776
Bilene-Macia,140972,Gaza,78772
Chibuto,217155,Gaza,121341
Chicualacuala,27084,Gaza,15134
Chigubo,22080,Gaza,12338
Chókwè,217019,Gaza,121265
Chonguene,118911,Gaza,66445
Guijá,89996,Gaza,50288
Limpopo,150394,Gaza,84037
Mabalane,38644,Gaza,21593
Manjacaze,137068,Gaza,76590
Mapai,28441,Gaza,15892
Massangena,21562,Gaza,12048
Massingir,36750,Gaza,20535
Cidade de Xai-Xai,141963,Gaza,79326
Funhaloro,44140,Inhambane,25172
Govuro,36094,Inhambane,20583
Homoine,114877,Inhambane,65511
Cidade de Inhambane,82119,Inhambane,46830
Inharrime,113288,Inhambane,64605
Inhassoro,57037,Inhambane,32527
Jangamo,105306,Inhambane,60053
Mabote,51046,Inhambane,29110
Massinga,236939,Inhambane,135120
Cidade de Maxixe,129993,Inhambane,74131
Morrumbene,136980,Inhambane,78116
Panda,43968,Inhambane,25074
Vilankulo,151709,Inhambane,86515
Zavala (Quissico),151308,Inhambane,86287
Bárue,185641,Manica,96300
Cidade de Chimoio,363336,Manica,188477
Gondola,192314,Manica,99761
Guro,97141,Manica,50391
Macate,84429,Manica,43797
Machaze,126488,Manica,65614
Macossa,46132,Manica,23931
Manica,215239,Manica,111653
Mossurize,203738,Manica,105687
Sussundenga,168442,Manica,87378
Tambara,53499,Manica,27752
Vanduzi,115532,Manica,59931
Boane,210367,Província de Maputo,135489
Cidade de Maputo,1080277,Província de Maputo,695761
Magude,62297,Província de Maputo,40123
Manhiça,205053,Província de Maputo,132066
Marracuene,218788,Província de Maputo,140912
Cidade da Matola,1032197,Província de Maputo,664795
Matutuíne,43664,Província de Maputo,28122
Moamba,88583,Província de Maputo,57053
Namaacha,47129,Província de Maputo,30354
Angoche,347176,Nampula,176694
Namapa-Erati,387713,Nampula,197325
Ilha de Moçambique,64577,Nampula,32866
Lalaua,107369,Nampula,54645
Larde,98385,Nampula,50073
Liupo,89259,Nampula,45428
Malema,213011,Nampula,108411
Meconta (Namialo),223760,Nampula,113882
Mecuburi,207285,Nampula,105497
Memba,328460,Nampula,167169
Mogincual,98177,Nampula,49967
Mogovolas,368905,Nampula,187753
Moma,324442,Nampula,165124
Monapo,393813,Nampula,200430
Mossuril,174641,Nampula,88883
Muecate,134280,Nampula,68341
Murrupula,184732,Nampula,94019
Cidade de Nacala-Porto,287536,Nampula,146340
Nacala-Velha,121726,Nampula,61952
Nacaroa,145450,Nampula,74026
Cidade de Nampula,760214,Nampula,386908
Rapale-Nampula,166327,Nampula,84652
Ribaué,256144,Nampula,130364
Chimbunhila,72503,Niassa,35692
Cuamba,267928,Niassa,131898
Lago,106968,Niassa,52659
Cidade de Lichinga,242204,Niassa,119235
Manjune,40004,Niassa,19694
Mandimba,211979,Niassa,104355
Marrupa,77808,Niassa,38304
Maúa,68260,Niassa,33604
Mavago,29933,Niassa,14736
Mecanhelas,269619,Niassa,132731
Mecula,20888,Niassa,10283
Metarica,45303,Niassa,22302
Muembe,43787,Niassa,21556
N´gauma,95823,Niassa,47173
Nipepe,45086,Niassa,22195
Sanga,75658,Niassa,37246
Cidade da Beira,592090,Sofala,320041
Buzi,177415,Sofala,95898
Caia,158256,Sofala,85542
Chemba,83257,Sofala,45003
Cheringoma,57572,Sofala,31119
Chibabava,135202,Sofala,73080
Dondo,193382,Sofala,104528
Gorongoza,176845,Sofala,95590
Machanga,55848,Sofala,30187
Maringue,95362,Sofala,51546
Marromeu,154361,Sofala,83436
Muanza,38174,Sofala,20634
Nhamatanda,279081,Sofala,150851
Angónia,472164,Tete,246514
Cahora-Bassa,128768,Tete,67229
Changara,123056,Tete,64247
Chifunde,157647,Tete,82306
Chiuta,101341,Tete,52909
Doa,87077,Tete,45462
Macanga,158881,Tete,82951
Mágoe,89273,Tete,46609
Marara,73044,Tete,38136
Maravia,126630,Tete,66113
Moatize,260843,Tete,136184
Mutarara,168058,Tete,87742
Cidade de Tete,307338,Tete,160459
Tsangano,214560,Tete,112020
Zumbo,83144,Tete,43409
Alto Molócuè,345559,Zambézia,173279
Chinde,85972,Zambézia,43110
Derre,109582,Zambézia,54949
Gilé,213614,Zambézia,107116
Gurúè,417329,Zambézia,209268
Ile,192660,Zambézia,96608
Inhassunge,89893,Zambézia,45076
Luabo,58212,Zambézia,29190
Lugela,182203,Zambézia,91365
Maganja da Costa,144974,Zambézia,72697
Milange,595580,Zambézia,298651
Mocuba,399551,Zambézia,200353
Mocubela,120815,Zambézia,60582
Molumbo,321007,Zambézia,160967
Mopeia,153355,Zambézia,76899
Morrumbala,369193,Zambézia,185130
Mulevala,105640,Zambézia,52973
Namacurra,214924,Zambézia,107773
Namarroi,142095,Zambézia,71253
Nicoadala,186761,Zambézia,93650
Pebane,205631,Zambézia,103113
Cidade de Quelimane,347907,Zambézia,174456
