Province,Population_Total,Population_Male,Population_Female,Population_Urban,Population_Rural,Pop_0_16,Pop_17_21,Pop_22_60,Pop_60_plus,Growth_Rate_Pct,Phone_Ownership_Pct,Internet_Usage_Pct
Niassa,1713751,833704,880047,268480,1445271,900000,180000,510000,123751,2.3,28.4,3.1
Cabo Delgado,2267715,1098070,1169645,399843,1867872,1190000,238000,680000,159715,2.3,26.8,2.8
Nampula,5483382,2659702,2823680,1041743,4441639,2880000,576000,1640000,387382,5.0,32.1,4.2
Zambézia,5002457,2396800,2605657,503824,4498633,2626000,525000,1500000,351457,3.2,22.5,2.1
Tete,2551826,1245815,1306011,305900,2245926,1339000,268000,765000,179826,3.8,29.7,3.4
Manica,1851931,886515,965416,486674,1365257,972000,194000,555000,130931,5.1,35.2,4.8
Sofala,2196845,1062113,1134732,941284,1255561,1153000,231000,659000,153845,2.8,38.6,6.2
Inhambane,1454804,665240,789564,308384,1146420,764000,153000,436000,101804,2.3,37.4,5.1
Gaza,1388039,627949,760090,397957,990082,728000,146000,416000,98039,2.5,36.8,4.6
Província de Maputo,2988355,1434291,1554064,2988355,0,1569000,313000,896000,210355,3.4,58.2,17.4
